#separator:tab		
#html:false		
#columns:Back	Front	Notetype
#notetype column:3		
I have worked	ich habe gearbeitet	Basic (and reversed card)
you (singular) have breathed	du hast geatmet	Basic (and reversed card)
he has formed	er hat gebildet	Basic (and reversed card)
we have needed	wir haben gebraucht	Basic (and reversed card)
you (plural) have followed	ihr habt gefolgt	Basic (and reversed card)
they have asked	sie haben gefragt	Basic (and reversed card)
I have felt	ich habe  gefühlt	Basic (and reversed card)
you (singular) have believed	du hast geatmet	Basic (and reversed card)
she has interest	sie hat interessiert	Basic (and reversed card)
we have bought	wir haben gekauft	Basic (and reversed card)
you (plural) have cooked	ihr habt gekocht	Basic (and reversed card)
they have lived	sie haben gelebt	Basic (and reversed card)
I have layed	ich habe gelegt	Basic (and reversed card)
you (singular) have made	du hast gemacht	Basic (and reversed card)
he has noted down	er hat notiert	Basic (and reversed card)
we have packed	wir haben gepackt	Basic (and reversed card)
you (plural) have talked	ihr habt geredet	Basic (and reversed card)
they have said	sie haben gesagt	Basic (and reversed card)
I have played	ich habe gespielt	Basic (and reversed card)
you (singular) have put	du hast gestellt	Basic (and reversed card)
she has searched	sie hat gesucht	Basic (and reversed card)
we have danced	wir haben getanzt	Basic (and reversed card)
you (plural) have called	ihr habt telefoniert	Basic (and reversed card)
they have lived at	sie haben gewohnt	Basic (and reversed card)
I have showed	ich habe gezeigt	Basic (and reversed card)
you (singular) are supposed to	du hast gesollt	Basic (and reversed card)
he has wanted	er hat gewollt	Basic (and reversed card)
we have offered	wir haben geboten	Basic (and reversed card)
you (plural) have bitten	ihr habt gebissen	Basic (and reversed card)
they have bound	sie haben gebunden	Basic (and reversed card)
I have requested	ich habe gebeten	Basic (and reversed card)
you (singular) have roasted	du hast gebraten	Basic (and reversed card)
she has broken	sie hat gebrochen	Basic (and reversed card)
we have eated	wir haben gegessen	Basic (and reversed card)
you (plural) have driven	ihr habt gefahren	Basic (and reversed card)
they have fallen	sie haben gefallen	Basic (and reversed card)
I have caught	ich habe gefangen	Basic (and reversed card)
you (singular) have found	du hast gefunden	Basic (and reversed card)
he has flown	wir haben geflogen	Basic (and reversed card)
we have given	wir haben gegeben	Basic (and reversed card)
they (plural) have poured	ihr habt gegossen	Basic (and reversed card)
I have grasped	ich habe gegriffen	Basic (and reversed card)
you (singular) have held	du hast gehalten	Basic (and reversed card)
she has lifted	sie hat gehoben	Basic (and reversed card)
we have helped	wir haben geholfen	Basic (and reversed card)
it has sounded	es hat geklungen	Basic (and reversed card)
they have come	sie haben gekommen	Basic (and reversed card)
I have run	ich habe gelaufen	Basic (and reversed card)
you (singular) have read	du hast gelesen	Basic (and reversed card)
he has lent	er hat geliehen	Basic (and reversed card)
we have laid	wir haben gelegen	Basic (and reversed card)
you (plural) have taken	ihr habt genommen	Basic (and reversed card)
they have ridden	sie haben geritten	Basic (and reversed card)
i have smelt	ich habe gerochen	Basic (and reversed card)
she has closed	sie hat geschlossen	Basic (and reversed card)
we have cut	wir haben geschnitten	Basic (and reversed card)
you (plural) have written	ihr habt geschrieben	Basic (and reversed card)
they have swum	sie haben geschwommen	Basic (and reversed card)
I have seen	ich habe gesehen	Basic (and reversed card)
he has been	er hat gewesen	Basic (and reversed card)
we have sung	wir haben gesungen	Basic (and reversed card)
you (plural) have  sunk	ihr habt gesunken	Basic (and reversed card)
they have sat	sie haben gesessen	Basic (and reversed card)
I have spoken	ich have gesprochen	Basic (and reversed card)
you (singular) have  jumped	du hast gesprungen	Basic (and reversed card)
you (plural) have stood	ihr habt gestanden	Basic (and reversed card)
we have climbed	wir haben gestiegen	Basic (and reversed card)
he has died	er hat gestorben	Basic (and reversed card)
they have argued	sie haben gestritten	Basic (and reversed card)
I have worn	ich habe getragen	Basic (and reversed card)
you (singular) have met	du hast getroffen	Basic (and reversed card)
she has drunk	sie hat getrunken	Basic (and reversed card)
we have washed	wir haben gewaschen	Basic (and reversed card)
you (plural) have become	ihr habt geworden	Basic (and reversed card)
they have thrown	sie haben geworfen	Basic (and reversed card)
I have pulled	ich habe gezogen	Basic (and reversed card)
you (singular) have  forced	du hast gezwungen	Basic (and reversed card)
